,ID,Name,Day,Age,Response,Gender
0,1,John,Sixth,23,0.5627187141917855,0
1,2,Billie,Sixth,22,Not Available,0
2,3,Robert,Sixth,20,Not Available,0
3,4,Don,Sixth,27,0.5229607643652396,0
4,5,Joseph,Sixth,21,Not Available,0
5,6,James,Sixth,25,0.4571030819121562,0
6,7,Delbert,Sixth,26,Not Available,0
7,8,Gary,Sixth,24,Not Available,0
8,9,Scott,Sixth,27,Not Available,0
9,10,Steve,Sixth,27,Not Available,0
10,11,Frank,Sixth,18,Not Available,0
11,12,Eric,Sixth,23,0.512687736538734,0
12,13,Wendell,Sixth,27,Not Available,0
13,14,James,Sixth,21,0.4517822116966478,0
14,15,Paul,Sixth,20,Not Available,0
15,16,Juan,Sixth,26,0.511309398445967,0
16,17,Walter,Sixth,30,0.4876374026809741,0
17,18,Richard,Sixth,23,0.5248170458806685,0
18,19,Felix,Sixth,21,0.6719892697762015,0
19,20,Andre,Sixth,21,0.4449211650987591,0
20,21,Jeffrey,Sixth,26,0.4035001434778803,0
21,22,Dave,Sixth,21,0.5538101525320848,0
22,23,James,Sixth,29,0.3699416770202328,0
23,24,Lemuel,Sixth,27,0.29449460162573504,0
24,25,Tommy,Sixth,23,0.7125960371855942,0
25,26,Carlos,Sixth,22,0.560689934295333,0
26,27,Willie,Sixth,19,0.4426790378672592,0
27,28,Joseph,Sixth,19,0.467343626114986,0
28,29,Everette,Sixth,25,0.6954712644704699,0
29,30,Marvin,Sixth,28,0.5338449267566893,0
30,31,Javier,Sixth,30,0.5053801595683928,0
31,32,Henry,Sixth,27,0.4386438165903696,0
32,33,Danial,Sixth,19,0.443953740251032,0
33,34,Nathan,Sixth,28,0.6104137051112386,0
34,35,Ted,Sixth,29,0.4387538730184034,0
35,36,Terry,Sixth,29,0.5828116958700524,0
36,37,Steve,Sixth,28,0.4883025967736782,0
37,38,Thomas,Sixth,24,0.5708048197461699,0
38,39,Roger,Sixth,24,0.5903570754206436,0
39,40,Mohammed,Sixth,26,0.5710369057808238,0
40,41,Willie,Sixth,19,0.3545339060940288,0
41,42,Kirk,Sixth,20,0.5931082193103651,0
42,43,Michael,Sixth,20,0.4278974215619132,0
43,44,Michael,Sixth,24,0.7627312850675907,0
44,45,Eric,Sixth,20,0.3609865803366528,0
45,46,Clarence,Sixth,19,0.2723403918403283,0
46,47,Carlton,Sixth,23,0.4830924544938338,0
47,48,Luis,Sixth,18,0.5978956173958363,0
48,49,John,Sixth,30,0.4619513788658993,0
49,50,Charles,Sixth,23,0.4479710238937036,0
50,51,Larry,Sixth,30,0.6005101847929761,0
51,52,Kennith,Sixth,22,0.6407673041409321,0
52,53,John,Sixth,24,0.3166798757885672,0
53,54,David,Sixth,20,0.5460591953743089,0
54,55,Taylor,Sixth,20,0.4202468709201124,0
55,56,Michael,Sixth,23,0.503040391617558,0
56,57,Wesley,Sixth,21,0.5252979188424935,0
57,58,Jack,Sixth,20,0.4456059188027668,0
58,59,Drew,Sixth,22,0.4963736106787016,0
59,60,Gary,Sixth,20,0.4475585006721042,0
60,61,Robert,Sixth,26,0.433021422000792,0
61,62,Charles,Sixth,29,0.4821278711793452,0
62,63,Lawrence,Sixth,24,0.4054221747322013,0
63,64,Billy,Sixth,25,0.5459887509348277,0
64,65,Travis,Sixth,19,0.4482537127438954,0
65,66,Kelly,Sixth,21,0.4947167997604914,0
66,67,Johnnie,Sixth,23,0.4946061853363077,0
67,68,Kenneth,Sixth,25,0.5652839716526309,0
68,69,John,Sixth,19,0.34318786073239826,0
69,70,Tony,Sixth,22,0.5142301178099664,0
70,71,Salvatore,Sixth,30,0.5009923942795725,0
71,72,Jack,Sixth,23,0.45398884881089896,0
72,73,Jose,Sixth,28,0.4821673612287138,0
73,74,John,Sixth,24,0.4722656940541789,0
74,75,Richard,Sixth,18,0.6197608040669679,0
75,76,Alan,Sixth,24,0.5335412407017036,0
76,77,Edward,Sixth,30,0.5938522409655508,0
77,78,Kenny,Sixth,30,0.41093795718540826,0
78,79,Ian,Sixth,24,0.4959098187308255,0
79,80,Brian,Sixth,29,0.5308543203711171,0
80,81,Chad,Sixth,24,0.3173498201434641,0
81,82,Lowell,Sixth,19,0.4248495932603885,0
82,83,Jonathon,Sixth,24,0.4720788961850801,0
83,84,Chester,Sixth,25,0.5393488384028237,0
84,85,Harold,Sixth,28,0.4663681827526402,0
85,86,Michael,Sixth,28,0.564364490050406,0
86,87,James,Sixth,23,0.6633255597766218,0
87,88,Charles,Sixth,18,0.6406938401660549,0
88,89,Arthur,Sixth,21,0.6547226491561557,0
89,90,Robert,Sixth,21,0.4650420803037942,0
